id,owner_id,is_deleted_ind,name_nm,currency_iso_cd,record_type_id,created_dt,created_by_id,last_modified_dt,last_modified_by_id,system_mod_stamp_ts,certification_source_txt,description_txt,external_id,group_txt,hierarchy_key_path_txt,hierarchy_level_nbr,hierarchy_path_txt,parent_category_id,parent_hierarchy_level_nbr,parent_record_type_dsc,record_type_nm,skill_or_certification_dsc,type_txt,unique_name_txt,snow_sys_id,source_update_utc_ts,source_create_utc_ts,udp_create_utc_ts,source_file_nm,source_file_ts,udp_update_utc_ts,created_by_employee_nm,created_by_employee_reference_nbr,created_by_employee_email_txt,last_modified_by_employee_nm,last_modified_by_employee_reference_nbr,last_modified_by_employee_email_txt
aFp2J00000000VOSAY,0052J000008tbjLQAQ,False,INTERNAL AUDIT (IA) EFFECTIVENESS,USD,0122J000000cJtEQAU,2022-10-12 14:30:33,0052J000008tbjLQAQ,2025-12-19 14:30:32,0052J000008tbjLQAQ,2025-12-19 14:30:32,,INTERNAL AUDIT (IA) EFFECTIVENESS,REMOTE_SKILL-1-355029,,aFp2J000000Caf1,2,CLOUD,aFp2J000000Caf1SAC,1,Category,Skill,Skill,CLOUD,,,2025-12-19 14:30:32,2022-10-12 14:30:33,2026-03-13 13:51:49.059000,pse__skill__c_20260313T134818Z_1.parquet,2026-03-13 13:48:18,2026-03-13 14:02:24.128483,O2C Integration Interface,81067831,pmantravadi@dxc.com.invalid,O2C Integration Interface,81067831,pmantravadi@dxc.com.invalid
aFp2J00000000VQSAY,0052J000008tbjLQAQ,False,IBM CERTIFIED SPECIALIST - MIDRANGE STORAGE TECHNICAL SUPPORT FOR V5,USD,0122J000000cJtEQAU,2022-10-12 14:30:33,0052J000008tbjLQAQ,2025-12-19 14:30:36,0052J000008tbjLQAQ,2025-12-19 14:30:36,,IBM CERTIFIED SPECIALIST - MIDRANGE STORAGE TECHNICAL SUPPORT FOR V5,CERTIFICATION-3-7338,,aFp2J000000Caf3,2,CERTIFICATION,aFp2J000000Caf3SAC,1,Category,Skill,Skill,Certification,,,2025-12-19 14:30:36,2022-10-12 14:30:33,2026-03-13 13:51:49.059000,pse__skill__c_20260313T134818Z_1.parquet,2026-03-13 13:48:18,2026-03-13 14:02:24.128483,O2C Integration Interface,81067831,pmantravadi@dxc.com.invalid,O2C Integration Interface,81067831,pmantravadi@dxc.com.invalid
aFp2J00000000VVSAY,0052J000008tbjLQAQ,False,INFORMATION DISSEMINATION,USD,0122J000000cJtEQAU,2022-10-12 14:30:33,0052J000008tbjLQAQ,2025-12-19 14:30:31,0052J000008tbjLQAQ,2025-12-19 14:30:31,,INFORMATION DISSEMINATION,REMOTE_SKILL-1-206951,,aFp2J000000Caf1,2,CLOUD,aFp2J000000Caf1SAC,1,Category,Skill,Skill,CLOUD,,,2025-12-19 14:30:31,2022-10-12 14:30:33,2026-03-13 13:51:49.059000,pse__skill__c_20260313T134818Z_1.parquet,2026-03-13 13:48:18,2026-03-13 14:02:24.128483,O2C Integration Interface,81067831,pmantravadi@dxc.com.invalid,O2C Integration Interface,81067831,pmantravadi@dxc.com.invalid
aFp2J00000000VdSAI,0052J000008tbjLQAQ,False,HPE NETWORK MANAGEMENT CENTER,USD,0122J000000cJtEQAU,2022-10-12 14:30:42,0052J000008tbjLQAQ,2025-12-19 14:30:34,0052J000008tbjLQAQ,2025-12-19 14:30:34,,HPE NETWORK MANAGEMENT CENTER,REMOTE_SKILL-1-358227,,aFp2J000000Caf1,2,CLOUD,aFp2J000000Caf1SAC,1,Category,Skill,Skill,CLOUD,,,2025-12-19 14:30:34,2022-10-12 14:30:42,2026-03-13 13:51:49.059000,pse__skill__c_20260313T134818Z_1.parquet,2026-03-13 13:48:18,2026-03-13 14:02:24.128483,O2C Integration Interface,81067831,pmantravadi@dxc.com.invalid,O2C Integration Interface,81067831,pmantravadi@dxc.com.invalid
aFp2J00000000VnSAI,0052J000008tbjLQAQ,False,MEDIA STRATEGY DEVELOPMENT,USD,0122J000000cJtEQAU,2022-10-13 14:30:54,0052J000008tbjLQAQ,2025-12-19 14:30:34,0052J000008tbjLQAQ,2025-12-19 14:30:34,,MEDIA STRATEGY DEVELOPMENT,REMOTE_SKILL-1-141013,,aFp2J000000Caf1,2,CLOUD,aFp2J000000Caf1SAC,1,Category,Skill,Skill,CLOUD,,,2025-12-19 14:30:34,2022-10-13 14:30:54,2026-03-13 13:51:49.059000,pse__skill__c_20260313T134818Z_1.parquet,2026-03-13 13:48:18,2026-03-13 14:02:24.128483,O2C Integration Interface,81067831,pmantravadi@dxc.com.invalid,O2C Integration Interface,81067831,pmantravadi@dxc.com.invalid
aFp2J00000000WfSAI,0052J000008tbjLQAQ,False,EXAM AZ-801: CONFIGURING WINDOWS SERVER HYBRID ADVANCED SERVICES,USD,0122J000000cJtEQAU,2022-10-14 14:31:11,0052J000008tbjLQAQ,2025-12-19 14:30:36,0052J000008tbjLQAQ,2025-12-19 14:30:36,,EXAM AZ-801: CONFIGURING WINDOWS SERVER HYBRID ADVANCED SERVICES,CERTIFICATION-3-7360,,aFp2J000000Caf3,2,CERTIFICATION,aFp2J000000Caf3SAC,1,Category,Skill,Skill,Certification,,,2025-12-19 14:30:36,2022-10-14 14:31:11,2026-03-13 13:51:49.059000,pse__skill__c_20260313T134818Z_1.parquet,2026-03-13 13:48:18,2026-03-13 14:02:24.128483,O2C Integration Interface,81067831,pmantravadi@dxc.com.invalid,O2C Integration Interface,81067831,pmantravadi@dxc.com.invalid
aFp2J00000000WuSAI,0052J000008tbjLQAQ,False,ORACLE EBS R12.1 GENERAL LEDGER ESSENTIALS (1Z0-516),USD,0122J000000cJtEQAU,2022-10-14 14:31:15,0052J000008tbjLQAQ,2025-12-19 14:30:36,0052J000008tbjLQAQ,2025-12-19 14:30:36,,ORACLE EBS R12.1 GENERAL LEDGER ESSENTIALS (1Z0-516),CERTIFICATION-3-7351,,aFp2J000000Caf3,2,CERTIFICATION,aFp2J000000Caf3SAC,1,Category,Skill,Skill,Certification,,,2025-12-19 14:30:36,2022-10-14 14:31:15,2026-03-13 13:51:49.059000,pse__skill__c_20260313T134818Z_1.parquet,2026-03-13 13:48:18,2026-03-13 14:02:24.128483,O2C Integration Interface,81067831,pmantravadi@dxc.com.invalid,O2C Integration Interface,81067831,pmantravadi@dxc.com.invalid
aFp2J00000000WwSAI,0052J000008tbjLQAQ,False,PRISMA CLOUD DATA SECURITY,USD,0122J000000cJtEQAU,2022-10-14 14:31:27,0052J000008tbjLQAQ,2025-12-19 14:30:36,0052J000008tbjLQAQ,2025-12-19 14:30:36,,PRISMA CLOUD DATA SECURITY,CERTIFICATION-3-7350,,aFp2J000000Caf3,2,CERTIFICATION,aFp2J000000Caf3SAC,1,Category,Skill,Skill,Certification,,,2025-12-19 14:30:36,2022-10-14 14:31:27,2026-03-13 13:51:49.059000,pse__skill__c_20260313T134818Z_1.parquet,2026-03-13 13:48:18,2026-03-13 14:02:24.128483,O2C Integration Interface,81067831,pmantravadi@dxc.com.invalid,O2C Integration Interface,81067831,pmantravadi@dxc.com.invalid
aFp2J00000000XXSAY,0052J000008tbjLQAQ,False,PUPPET (SOFTWARE),USD,0122J000000cJtEQAU,2022-11-22 14:30:53,0052J000008tbjLQAQ,2025-12-19 14:30:35,0052J000008tbjLQAQ,2025-12-19 14:30:35,,PUPPET (SOFTWARE),REMOTE_SKILL-1-358900,,aFp2J000000Caf1,2,CLOUD,aFp2J000000Caf1SAC,1,Category,Skill,Skill,CLOUD,,,2025-12-19 14:30:35,2022-11-22 14:30:53,2026-03-13 13:51:49.059000,pse__skill__c_20260313T134818Z_1.parquet,2026-03-13 13:48:18,2026-03-13 14:02:24.128483,O2C Integration Interface,81067831,pmantravadi@dxc.com.invalid,O2C Integration Interface,81067831,pmantravadi@dxc.com.invalid
aFp2J00000000XmSAI,0052J000008tbjLQAQ,False,PRISMA CLOUD RQL,USD,0122J000000cJtEQAU,2022-11-22 14:30:53,0052J000008tbjLQAQ,2025-12-19 14:30:36,0052J000008tbjLQAQ,2025-12-19 14:30:36,,PRISMA CLOUD RQL,CERTIFICATION-3-7399,,aFp2J000000Caf3,2,CERTIFICATION,aFp2J000000Caf3SAC,1,Category,Skill,Skill,Certification,,,2025-12-19 14:30:36,2022-11-22 14:30:53,2026-03-13 13:51:49.059000,pse__skill__c_20260313T134818Z_1.parquet,2026-03-13 13:48:18,2026-03-13 14:02:24.128483,O2C Integration Interface,81067831,pmantravadi@dxc.com.invalid,O2C Integration Interface,81067831,pmantravadi@dxc.com.invalid
